hsa00010,Glycolysis / Gluconeogenesis
1143,CHRNB4
1144,CHRND
1145,CHRNE
1146,CHRNG
5023,P2RX1
22953,P2RX2
5024,P2RX3
5025,P2RX4
5026,P2RX5
5027,P2RX7
9127,P2RX6
2890,GRIA1
2891,GRIA2
2892,GRIA3
2893,GRIA4
2897,GRIK1
2898,GRIK2
2899,GRIK3
2900,GRIK4
2901,GRIK5
2894,GRID1
2895,GRID2
2741,GLRA1
2742,GLRA2
8001,GLRA3
2743,GLRB
7442,TRPV1
706,TSPO
2908,NR3C1
2688,GH1
2689,GH2
1442,CSH1
1443,CSH2
2690,GHR
7067,THRA
7068,THRB
3952,LEP
3953,LEPR
5617,PRL
5618,PRLR
hsa04110,Cell cycle
595,CCND1
894,CCND2
896,CCND3
1019,CDK4
1021,CDK6
5925,RB1
5933,RBL1
5934,RBL2
25,ABL1
3065,HDAC1
3066,HDAC2
1869,E2F1
1870,E2F2
1871,E2F3
1874,E2F4
1875,E2F5
7027,TFDP1
7029,TFDP2
2932,GSK3B
7040,TGFB1
7042,TGFB2
7043,TGFB3
4087,SMAD2
4088,SMAD3
4089,SMAD4
4609,MYC
7709,ZBTB17
1029,CDKN2A
1030,CDKN2B
1031,CDKN2C
1032,CDKN2D
1027,CDKN1B
1028,CDKN1C
1026,CDKN1A
898,CCNE1
9134,CCNE2
1017,CDK2
6500,SKP1
8454,CUL1
9978,RBX1
6502,SKP2
890,CCNA2
8900,CCNA1
990,CDC6
8318,CDC45
8317,CDC7
10926,DBF4
983,CDK1
891,CCNB1
9133,CCNB2
85417,CCNB3
994,CDC25B
995,CDC25C
7534,YWHAZ
7529,YWHAB
10971,YWHAQ
7531,YWHAE
7533,YWHAH
7532,YWHAG
5347,PLK1
7465,WEE1
494551,WEE2
9088,PKMYT1
902,CCNH
1022,CDK7
64682,ANAPC1
29882,ANAPC2
996,CDC27
29945,ANAPC4
51433,ANAPC5
8881,CDC16
51434,ANAPC7
8697,CDC23
10393,ANAPC10
51529,ANAPC11
246184,CDC26
25847,ANAPC13
991,CDC20
9232,PTTG1
10744,PTTG2
9700,ESPL1
8243,SMC1A
27127,SMC1B
9126,SMC3
10735,STAG2
10274,STAG1
5885,RAD21
7272,TTK
699,BUB1
9184,BUB3
701,BUB1B
8379,MAD1L1
4085,MAD2L1
10459,MAD2L2
51343,FZR1
8555,CDC14B
8556,CDC14A
545,ATR
472,ATM
7157,TP53
1111,CHEK1
11200,CHEK2
1387,CREBBP
2033,EP300
5591,PRKDC
4193,MDM2
1647,GADD45A
4616,GADD45B
10912,GADD45G
5111,PCNA
2810,SFN
993,CDC25A
4998,ORC1
4999,ORC2
23595,ORC3
5000,ORC4
5001,ORC5
23594,ORC6
4171,MCM2
4172,MCM3
4173,MCM4
4174,MCM5
4175,MCM6
4176,MCM7
hsa04114,Oocyte meiosis
3630,INS
3479,IGF1
3480,IGF1R
5241,PGR
367,AR
107,ADCY1
108,ADCY2
109,ADCY3
196883,ADCY4
111,ADCY5
112,ADCY6
113,ADCY7
114,ADCY8
115,ADCY9
5566,PRKACA
5567,PRKACB
5568,PRKACG
6790,AURKA
64506,CPEB1
132864,CPEB2
22849,CPEB3
80315,CPEB4
4342,MOS
5604,MAP2K1
5594,MAPK1
5595,MAPK3
6197,RPS6KA3
6195,RPS6KA1
6196,RPS6KA2
27330,RPS6KA6
9088,PKMYT1
7534,YWHAZ
7529,YWHAB
10971,YWHAQ
7531,YWHAE
7533,YWHAH
7532,YWHAG
245711,SPDYA
387778,SPDYC
100310812,SPDYE2B
100505767,SPDYE18
100996746,SPDYE11
102723555,SPDYE16
102723849,SPDYE17
285955,SPDYE1
388333,SPDYE4
441272,SPDYE3
441273,SPDYE2
442590,SPDYE5
729597,SPDYE6
983,CDK1
1017,CDK2
5499,PPP1CA
5500,PPP1CB
5501,PPP1CC
9748,SLK
5347,PLK1
995,CDC25C
9133,CCNB2
9978,RBX1
8454,CUL1
6500,SKP1
8945,BTRC
23291,FBXW11
26271,FBXO5
64682,ANAPC1
29882,ANAPC2
996,CDC27
29945,ANAPC4
51433,ANAPC5
8881,CDC16
51434,ANAPC7
8697,CDC23
10393,ANAPC10
51529,ANAPC11
246184,CDC26
25847,ANAPC13
991,CDC20
286151,FBXO43
9232,PTTG1
10744,PTTG2
9700,ESPL1
9985,REC8
10734,STAG3
8243,SMC1A
27127,SMC1B
9126,SMC3
891,CCNB1
699,BUB1
4085,MAD2L1
10459,MAD2L2
8379,MAD1L1
898,CCNE1
9134,CCNE2
151648,SGO1
5526,PPP2R5B
5527,PPP2R5C
5528,PPP2R5D
5529,PPP2R5E
5525,PPP2R5A
5519,PPP2R1B
5518,PPP2R1A
5515,PPP2CA
5516,PPP2CB
89869,PLCZ1
3708,ITPR1
3709,ITPR2
3710,ITPR3
810,CALML3
805,CALM2
808,CALM3
801,CALM1
163688,CALML6
51806,CALML5
91860,CALML4
5530,PPP3CA
5532,PPP3CB
5533,PPP3CC
5534,PPP3R1
5535,PPP3R2
815,CAMK2A
817,CAMK2D
816,CAMK2B
818,CAMK2G
6300,MAPK12
hsa04115,p53 signaling pathway
472,ATM
11200,CHEK2
545,ATR
1111,CHEK1
92344,GORAB
1029,CDKN2A
4193,MDM2
4194,MDM4
7157,TP53
1026,CDKN1A
595,CCND1
894,CCND2
896,CCND3
1019,CDK4
1021,CDK6
898,CCNE1
9134,CCNE2
1017,CDK2
2810,SFN
56475,RPRM
891,CCNB1
9133,CCNB2
983,CDK1
1647,GADD45A
4616,GADD45B
10912,GADD45G
51512,GTSE1
355,FAS
55367,PIDD1
841,CASP8
637,BID
581,BAX
5366,PMAIP1
27113,BBC3
63970,TP53AIP1
10572,SIVA1
598,BCL2L1
596,BCL2
9540,TP53I3
9538,EI24
51246,SHISA5
64065,PERP
64393,ZMAT3
6477,SIAH1
54205,CYCS
317,APAF1
842,CASP9
836,CASP3
84883,AIFM2
3486,IGFBP3
3479,IGF1
5054,SERPINE1
575,ADGRB1
3732,CD82
7057,THBS1
5268,SERPINB5
1643,DDB2
50484,RRM2B
6241,RRM2
27244,SESN1
143686,SESN3
83667,SESN2
5728,PTEN
7249,TSC2
55240,STEAP3
64326,COP1
25898,RCHY1
900,CCNG1
901,CCNG2
8493,PPM1D
7161,TP73
8795,TNFRSF10B
hsa04120,Ubiquitin mediated proteolysis
7317,UBA1
10055,SAE1
10054,UBA2
9039,UBA3
7318,UBA7
55236,UBA6
7319,UBE2A
7320,UBE2B
11065,UBE2C
51619,UBE2D4
7321,UBE2D1
7322,UBE2D2
7323,UBE2D3
10477,UBE2E3
7324,UBE2E1
7325,UBE2E2
140739,UBE2F
7326,UBE2G1
7327,UBE2G2
7328,UBE2H
7329,UBE2I
51465,UBE2J1
118424,UBE2J2
7332,UBE2L3
9246,UBE2L6
9040,UBE2M
389898,UBE2NL
7334,UBE2N
63893,UBE2O
55585,UBE2Q1
92912,UBE2Q2
134111,UBE2QL1
54926,UBE2R2
997,CDC34
27338,UBE2S
148581,UBE2U
55284,UBE2W
65264,UBE2Z
3093,UBE2K
57448,BIRC6
7337,UBE3A
89910,UBE3B
9690,UBE3C
57154,SMURF1
64750,SMURF2
83737,ITCH
11059,WWP1
11060,WWP2
9320,TRIP12
4734,NEDD4
23327,NEDD4L
10075,HUWE1
51366,UBR5
8925,HERC1
8924,HERC2
8916,HERC3
26091,HERC4
9354,UBE4A
10277,UBE4B
10273,STUB1
23759,PPIL2
27339,PRPF19
22888,UBOX5
4193,MDM2
867,CBL
868,CBLB
23624,CBLC
5071,PRKN
6477,SIAH1
5371,PML
7189,TRAF6
4214,MAP3K1
64326,COP1
25898,RCHY1
329,BIRC2
330,BIRC3
331,XIAP
79444,BIRC7
112401,BIRC8
8554,PIAS1
9063,PIAS2
10401,PIAS3
51588,PIAS4
84447,SYVN1
378884,NHLRC1
326,AIRE
23295,MGRN1
672,BRCA1
55120,FANCL
4281,MID1
22954,TRIM32
4591,TRIM37
9978,RBX1
8454,CUL1
6500,SKP1
8945,BTRC
23291,FBXW11
6502,SKP2
55294,FBXW7
26232,FBXO2
26272,FBXO4
8453,CUL2
6921,ELOC
6923,ELOB
7428,VHL
8452,CUL3
9817,KEAP1
55958,KLHL9
90293,KLHL13
23221,RHOBTB2
9886,RHOBTB1
8450,CUL4B
8451,CUL4A
1642,DDB1
1643,DDB2
1161,ERCC8
55070,DET1
9616,RNF7
8065,CUL5
8651,SOCS1
9021,SOCS3
9820,CUL7
26259,FBXW8
51529,ANAPC11
29882,ANAPC2
991,CDC20
51343,FZR1
64682,ANAPC1
996,CDC27
29945,ANAPC4
51433,ANAPC5
8881,CDC16
51434,ANAPC7
8697,CDC23
10393,ANAPC10
246184,CDC26
25847,ANAPC13
hsa04122,Sulfur relay system
9054,NFS1
4357,MPST
7263,TST
81605,URM1
27304,MOCS3
90353,CTU1
348180,CTU2
4338,MOCS2
hsa04130,SNARE interactions in vesicular transport
6804,STX1A
2054,STX2
6809,STX3
112755,STX1B
6810,STX4
415117,STX19
8676,STX11
8417,STX7
8675,STX16
6811,STX5
55014,STX17
53407,STX18
10490,VTI1B
143187,VTI1A
9527,GOSR1
9570,GOSR2
662,BNIP1
10228,STX6
8677,STX10
9482,STX8
51272,BET1L
10282,BET1
55850,USE1
8773,SNAP23
9342,SNAP29
6843,VAMP1
6844,VAMP2
9341,VAMP3
8673,VAMP8
8674,VAMP4
10791,VAMP5
6845,VAMP7
10652,YKT6
9554,SEC22B
hsa04136,Autophagy - other
57521,RPTOR
2475,MTOR
64223,MLST8
9706,ULK2
9776,ATG13
60673,ATG101
3476,IGBP1
5515,PPP2CA
5516,PPP2CB
285973,ATG9B
79065,ATG9A
23130,ATG2A
55102,ATG2B
26100,WIPI2
55062,WIPI1
8678,BECN1
441925,BECN2
5289,PIK3C3
30849,PIK3R4
9140,ATG12
9474,ATG5
55054,ATG16L1
10533,ATG7
83734,ATG10
64422,ATG3
11337,GABARAP
23710,GABARAPL1
11345,GABARAPL2
115201,ATG4A
23192,ATG4B
84938,ATG4C
84971,ATG4D
hsa04137,Mitophagy - animal
23786,BCL2L13
9451,EIF2AK3
468,ATF4
5599,MAPK8
5602,MAPK10
5601,MAPK9
3725,JUN
65018,PINK1
54543,TOMM7
5071,PRKN
7314,UBB
55669,MFN1
9927,MFN2
55288,RHOT1
89941,RHOT2
9101,USP8
9958,USP15
84749,USP30
8887,TAX1BP1
8878,SQSTM1
10241,CALCOCO2
10133,OPTN
4077,NBR1
29110,TBK1
11337,GABARAP
23710,GABARAPL1
11345,GABARAPL2
55626,AMBRA1
9474,ATG5
285973,ATG9B
79065,ATG9A
4286,MITF
7942,TFEB
7030,TFE3
8678,BECN1
441925,BECN2
598,BCL2L1
192111,PGAM5
1457,CSNK2A1
1459,CSNK2A2
283106,CSNK2A3
1460,CSNK2B
6714,SRC
8408,ULK1
139341,FUNDC1
3091,HIF1A
1869,E2F1
5970,RELA
664,BNIP3
3265,HRAS
3845,KRAS
4893,NRAS
22808,MRAS
6237,RRAS
22800,RRAS2
7157,TP53
665,BNIP3L
2309,FOXO3
10370,CITED2
6667,SP1
64786,TBC1D15
79735,TBC1D17
7879,RAB7A
338382,RAB7B
51024,FIS1
hsa04140,Autophagy - animal
3630,INS
3480,IGF1R
3667,IRS1
8660,IRS2
8471,IRS4
5290,PIK3CA
5293,PIK3CD
5291,PIK3CB
5295,PIK3R1
5296,PIK3R2
8503,PIK3R3
5170,PDPK1
207,AKT1
208,AKT2
10000,AKT3
5728,PTEN
3265,HRAS
3845,KRAS
4893,NRAS
22808,MRAS
6237,RRAS
22800,RRAS2
5894,RAF1
5604,MAP2K1
5605,MAP2K2
5594,MAPK1
5595,MAPK3
3091,HIF1A
54541,DDIT4
7249,TSC2
7248,TSC1
664,BNIP3
6009,RHEB
57521,RPTOR
64798,DEPTOR
2475,MTOR
84335,AKT1S1
64223,MLST8
6198,RPS6KB1
6199,RPS6KB2
3476,IGBP1
5515,PPP2CA
5516,PPP2CB
8408,ULK1
9706,ULK2
9776,ATG13
60673,ATG101
9821,RB1CC1
23130,ATG2A
55102,ATG2B
26100,WIPI2
55062,WIPI1
285973,ATG9B
79065,ATG9A
55578,SUPT20H
10670,RRAGA
10325,RRAGB
64121,RRAGC
58528,RRAGD
6794,STK11
5562,PRKAA1
5563,PRKAA2
5566,PRKACA
5567,PRKACB
5568,PRKACG
5580,PRKCD
5599,MAPK8
5602,MAPK10
5601,MAPK9
596,BCL2
598,BCL2L1
572,BAD
8678,BECN1
441925,BECN2
29982,NRBF2
30849,PIK3R4
5289,PIK3C3
22863,ATG14
55626,AMBRA1
7189,TRAF6
58476,TP53INP2
81671,VMP1
55014,STX17
7405,UVRAG
51100,SH3GLB1
9711,RUBCN
10645,CAMKK2
6885,MAP3K7
2081,ERN1
3708,ITPR1
1612,DAPK1
1613,DAPK3
23604,DAPK2
3146,HMGB1
118471,PRAP1
9451,EIF2AK3
440275,EIF2AK4
1965,EIF2S1
8897,MTMR3
9110,MTMR4
64419,MTMR14
53349,ZFYVE1
9140,ATG12
9474,ATG5
55054,ATG16L1
89849,ATG16L2
10533,ATG7
83734,ATG10
64422,ATG3
8837,CFLAR
83452,RAB33B
5588,PRKCQ
11337,GABARAP
23710,GABARAPL1
11345,GABARAPL2
115201,ATG4A
23192,ATG4B
84938,ATG4C
84971,ATG4D
3916,LAMP1
3920,LAMP2
7879,RAB7A
338382,RAB7B
8673,VAMP8
9342,SNAP29
1509,CTSD
1514,CTSL
1508,CTSB
hsa04141,Protein processing in endoplasmic reticulum
29927,SEC61A1
55176,SEC61A2
10952,SEC61B
23480,SEC61G
7095,SEC62
11231,SEC63
6184,RPN1
6185,RPN2
1603,DAD1
7991,TUSC3
1650,DDOST
3703,STT3A
201595,STT3B
7841,MOGS
10970,CKAP4
6238,RRBP1
64374,SIL1
10525,HYOU1
3309,HSPA5
51726,DNAJB11
64215,DNAJC1
5611,DNAJC3
54431,DNAJC10
7184,HSP90B1
23193,GANAB
5589,PRKCSH
821,CANX
2923,PDIA3
811,CALR
11253,MAN1B1
10905,MAN1A2
57134,MAN1C1
4121,MAN1A1
10960,LMAN2
3998,LMAN1
79748,LMAN1L
10113,PREB
56681,SAR1A
51128,SAR1B
6396,SEC13
22872,SEC31A
25956,SEC31B
10483,SEC23B
10484,SEC23A
10427,SEC24B
10802,SEC24A
9632,SEC24C
9871,SEC24D
55757,UGGT2
56886,UGGT1
9695,EDEM1
55741,EDEM2
80267,EDEM3
5034,P4HB
9601,PDIA4
10130,PDIA6
10961,ERP29
81567,TXNDC5
30001,ERO1A
56605,ERO1B
10956,OS9
27248,ERLEC1
6745,SSR1
6746,SSR2
6747,SSR3
6748,SSR4
10134,BCAP31
23471,TRAM1
79139,DERL1
51009,DERL2
91319,DERL3
80700,UBXN6
55968,NSFL1C
258010,SVIP
7415,VCP
55666,NPLOC4
7353,UFD1
3312,HSPA8
3303,HSPA1A
3306,HSPA2
3305,HSPA1L
3304,HSPA1B
3310,HSPA6
3301,DNAJA1
10294,DNAJA2
3337,DNAJB1
3300,DNAJB2
54788,DNAJB12
80331,DNAJC5
85479,DNAJC5B
285126,DNAJC5G
3320,HSP90AA1
3326,HSP90AB1
10808,HSPH1
22824,HSPA4L
573,BAG1
9532,BAG2
23640,HSPBP1
1409,CRYAA
102724652,CRYAA2
1410,CRYAB
55432,YOD1
9373,PLAA
5887,RAD23B
5886,RAD23A
29979,UBQLN1
29978,UBQLN2
50613,UBQLN3
56893,UBQLN4
55768,NGLY1
4287,ATXN3
92552,ATXN3L
10277,UBE4B
27102,EIF2AK1
5610,EIF2AK2
9451,EIF2AK3
440275,EIF2AK4
1965,EIF2S1
4780,NFE2L2
468,ATF4
23645,PPP1R15A
1649,DDIT3
596,BCL2
22926,ATF6
1388,ATF6B
7466,WFS1
8720,MBTPS1
51360,MBTPS2
7494,XBP1
2081,ERN1
7186,TRAF2
4217,MAP3K5
5609,MAP2K7
5599,MAPK8
5602,MAPK10
5601,MAPK9
581,BAX
578,BAK1
823,CAPN1
824,CAPN2
100506742,CASP12
10299,MARCH6
51465,UBE2J1
118424,UBE2J2
7326,UBE2G1
7327,UBE2G2
84447,SYVN1
6048,RNF5
91445,RNF185
55829,SELENOS
6400,SEL1L
80343,SEL1L2
9709,HERPUD1
267,AMFR
10273,STUB1
51619,UBE2D4
7321,UBE2D1
7322,UBE2D2
7323,UBE2D3
5071,PRKN
9978,RBX1
8454,CUL1
6500,SKP1
26232,FBXO2
26270,FBXO6
hsa04142,Lysosome
10312,TCIRG1
23545,ATP6V0A2
50617,ATP6V0A4
535,ATP6V0A1
9114,ATP6V0D1
245972,ATP6V0D2
51606,ATP6V1H
537,ATP6AP1
527,ATP6V0C
533,ATP6V0B
5476,CTSA
1508,CTSB
1075,CTSC
1509,CTSD
1510,CTSE
8722,CTSF
1511,CTSG
1512,CTSH
1513,CTSK
1514,CTSL
1519,CTSO
1520,CTSS
1515,CTSV
1521,CTSW
1522,CTSZ
9476,NAPSA
5641,LGMN
1200,TPP1
2717,GLA
2720,GLB1
2548,GAA
2629,GBA
3425,IDUA
4668,NAGA
4669,NAGLU
2581,GALC
2990,GUSB
3073,HEXA
3074,HEXB
4126,MANBA
4125,MAN2B1
4758,NEU1
410,ARSA
411,ARSB
22901,ARSG
2588,GALNS
2799,GNS
3423,IDS
6448,SGSH
3988,LIPA
23659,PLA2G15
1777,DNASE2
58511,DNASE2B
53,ACP2
54,ACP5
6609,SMPD1
427,ASAH1
175,AGA
5660,PSAP
768239,PSAPL1
2760,GM2A
5538,PPT1
9374,PPT2
3916,LAMP1
3920,LAMP2
27074,LAMP3
968,CD68
967,CD63
950,SCARB2
4864,NPC1
10577,NPC2
1497,CTNS
26503,SLC17A5
6556,SLC11A1
4891,SLC11A2
55353,LAPTM4B
7805,LAPTM5
9741,LAPTM4A
20,ABCA2
23457,ABCB9
8763,CD164
9583,ENTPD4
6272,SORT1
1201,CLN3
1203,CLN5
256471,MFSD8
138050,HGSNAT
285362,SUMF1
79158,GNPTAB
84572,GNPTG
51172,NAGPA
3482,IGF2R
4074,M6PR
1211,CLTA
1212,CLTB
1213,CLTC
8218,CLTCL1
164,AP1G1
8906,AP1G2
162,AP1B1
8907,AP1M1
10053,AP1M2
1174,AP1S1
8905,AP1S2
130340,AP1S3
8943,AP3D1
8120,AP3B2
8546,AP3B1
26985,AP3M1
10947,AP3M2
10239,AP3S2
1176,AP3S1
23431,AP4E1
10717,AP4B1
9179,AP4M1
11154,AP4S1
23062,GGA2
23163,GGA3
26088,GGA1
57192,MCOLN1
9516,LITAF
2517,FUCA1
3373,HYAL1
hsa04144,Endocytosis
382,ARF6
23396,PIP5K1C
8394,PIP5K1A
8395,PIP5K1B
138429,PIP5KL1
5337,PLD1
5338,PLD2
1759,DNM1
1785,DNM2
26052,DNM3
1211,CLTA
1212,CLTB
1213,CLTC
8218,CLTCL1
161,AP2A2
160,AP2A1
163,AP2B1
1173,AP2M1
1175,AP2S1
30846,EHD2
7046,TGFBR1
7048,TGFBR2
9372,ZFYVE9
9765,ZFYVE16
5371,PML
4087,SMAD2
4088,SMAD3
7037,TFRC
1956,EGFR
5156,PDGFRA
2263,FGFR2
2261,FGFR3
2264,FGFR4
3480,IGF1R
867,CBL
868,CBLB
23624,CBLC
30011,SH3KBP1
6457,SH3GL3
6456,SH3GL2
6455,SH3GL1
51100,SH3GLB1
56904,SH3GLB2
273,AMPH
274,BIN1
29924,EPN1
55040,EPN3
22905,EPN2
2060,EPS15
58513,EPS15L1
23111,SPART
7314,UBB
4734,NEDD4
23327,NEDD4L
4193,MDM2
7189,TRAF6
10193,RNF41
83737,ITCH
57154,SMURF1
64750,SMURF2
11059,WWP1
3949,LDLR
26119,LDLRAP1
1601,DAB2
1234,CCR5
3577,CXCR1
3579,CXCR2
7852,CXCR4
131890,GRK7
6011,GRK1
156,GRK2
157,GRK3
2868,GRK4
2869,GRK5
2870,GRK6
408,ARRB1
409,ARRB2
7454,WAS
8976,WASL
10095,ARPC1B
10552,ARPC1A
10109,ARPC2
10094,ARPC3
10093,ARPC4
10092,ARPC5
81873,ARPC5L
147179,WIPF2
7456,WIPF1
644150,WIPF3
3312,HSPA8
3303,HSPA1A
3306,HSPA2
3305,HSPA1L
3304,HSPA1B
3310,HSPA6
9829,DNAJC6
23325,WASHC4
9897,WASHC5
253725,WASHC2C
387680,WASHC2A
100287171,WASHC1
51019,WASHC3
829,CAPZA1
830,CAPZA2
93661,CAPZA3
832,CAPZB
51699,VPS29
112936,VPS26B
9559,VPS26A
55737,VPS35
29934,SNX12
8724,SNX3
9101,USP8
10617,STAMBP
7879,RAB7A
9146,HGS
10254,STAM2
8027,STAM
7251,TSG101
93343,MVB12A
89853,MVB12B
51160,VPS28
155382,VPS37D
137492,VPS37A
79720,VPS37B
55048,VPS37C
11267,SNF8
51028,VPS36
84313,VPS25
79643,CHMP6
92421,CHMP4C
128866,CHMP4B
29082,CHMP4A
51652,CHMP3
100526767,RNF103-CHMP3
27243,CHMP2A
25978,CHMP2B
91782,CHMP7
9525,VPS4B
27183,VPS4A
51534,VTA1
57132,CHMP1B
5119,CHMP1A
51510,CHMP5
9798,IST1
10015,PDCD6IP
51324,SPG21
3482,IGF2R
6642,SNX1
6643,SNX2
254122,SNX32
27131,SNX5
58533,SNX6
6714,SRC
3265,HRAS
3559,IL2RA
3560,IL2RB
3561,IL2RG
387,RHOA
3105,HLA-A
3106,HLA-B
3107,HLA-C
3134,HLA-F
3135,HLA-G
3133,HLA-E
2348,FOLR1
2350,FOLR2
2352,FOLR3
390243,IZUMO1R
857,CAV1
858,CAV2
859,CAV3
30845,EHD3
30844,EHD4
8411,EEA1
5868,RAB5A
5869,RAB5B
5878,RAB5C
9135,RABEP1
64145,RBSN
5867,RAB4A
80230,RUFY1
10938,EHD1
11311,VPS45
8723,SNX4
57403,RAB22A
11031,RAB31
10890,RAB10
4218,RAB8A
11021,RAB35
8766,RAB11A
9230,RAB11B
22841,RAB11FIP2
80223,RAB11FIP1
26056,RAB11FIP5
118813,ZFYVE27
3798,KIF5A
3799,KIF5B
3800,KIF5C
84440,RAB11FIP4
9727,RAB11FIP3
56288,PARD3
50855,PARD6A
84552,PARD6G
84612,PARD6B
5590,PRKCZ
5584,PRKCI
998,CDC42
64744,SMAP2
60682,SMAP1
28964,GIT1
9815,GIT2
50807,ASAP1
55616,ASAP3
8853,ASAP2
116983,ACAP3
23527,ACAP2
9744,ACAP1
116985,ARAP1
116984,ARAP2
64411,ARAP3
116987,AGAP1
116988,AGAP3
116986,AGAP2
55738,ARFGAP1
26286,ARFGAP3
84364,ARFGAP2
23362,PSD3
23550,PSD4
5662,PSD
84249,PSD2
23096,IQSEC2
9922,IQSEC1
440073,IQSEC3
9265,CYTH3
27128,CYTH4
9266,CYTH2
9267,CYTH1
10564,ARFGEF2
10565,ARFGEF1
8729,GBF1
375,ARF1
377,ARF3
381,ARF5
hsa04145,Phagosome
9341,VAMP3
23673,STX12
8417,STX7
60,ACTB
71,ACTG1
11151,CORO1A
53407,STX18
9554,SEC22B
3105,HLA-A
3106,HLA-B
3107,HLA-C
3134,HLA-F
3135,HLA-G
3133,HLA-E
3108,HLA-DMA
3109,HLA-DMB
3111,HLA-DOA
3112,HLA-DOB
3113,HLA-DPA1
3115,HLA-DPB1
3117,HLA-DQA1
3118,HLA-DQA2
3119,HLA-DQB1
3122,HLA-DRA
3123,HLA-DRB1
3125,HLA-DRB3
3126,HLA-DRB4
3127,HLA-DRB5
5868,RAB5A
5869,RAB5B
5878,RAB5C
8411,EEA1
5289,PIK3C3
7037,TFRC
9146,HGS
523,ATP6V1A
525,ATP6V1B1
526,ATP6V1B2
245973,ATP6V1C2
528,ATP6V1C1
51382,ATP6V1D
90423,ATP6V1E2
529,ATP6V1E1
9296,ATP6V1F
9550,ATP6V1G1
127124,ATP6V1G3
534,ATP6V1G2
8992,ATP6V0E1
155066,ATP6V0E2
10312,TCIRG1
23545,ATP6V0A2
50617,ATP6V0A4
535,ATP6V0A1
9114,ATP6V0D1
245972,ATP6V0D2
51606,ATP6V1H
527,ATP6V0C
533,ATP6V0B
537,ATP6AP1
7879,RAB7A
338382,RAB7B
83547,RILP
1778,DYNC1H1
79659,DYNC2H1
1780,DYNC1I1
1781,DYNC1I2
1783,DYNC1LI2
51143,DYNC1LI1
10376,TUBA1B
7277,TUBA4A
7278,TUBA3C
7846,TUBA1A
84790,TUBA1C
51807,TUBA8
112714,TUBA3E
113457,TUBA3D
79861,TUBAL3
84617,TUBB6
203068,TUBB
81027,TUBB1
7280,TUBB2A
10381,TUBB3
10382,TUBB4A
347688,TUBB8
347733,TUBB2B
10383,TUBB4B
3916,LAMP1
3920,LAMP2
200576,PIKFYVE
4074,M6PR
4842,NOS1
4353,MPO
1514,CTSL
1520,CTSS
29927,SEC61A1
55176,SEC61A2
10952,SEC61B
23480,SEC61G
6890,TAP1
6891,TAP2
811,CALR
821,CANX
2204,FCAR
2209,FCGR1A
2212,FCGR2A
2213,FCGR2B
9103,FCGR2C
2214,FCGR3A
2215,FCGR3B
102723407,IGH
715,C1R
3684,ITGAM
3689,ITGB2
718,C3
78989,COLEC11
81035,COLEC12
4153,MBL2
653509,SFTPA1
729238,SFTPA2
6441,SFTPD
3685,ITGAV
3673,ITGA2
3678,ITGA5
3688,ITGB1
3690,ITGB3
3693,ITGB5
7057,THBS1
1311,COMP
7058,THBS2
7059,THBS3
7060,THBS4
7097,TLR2
10333,TLR6
7099,TLR4
929,CD14
22925,PLA2R1
4360,MRC1
9902,MRC2
10332,CLEC4M
30835,CD209
64581,CLEC7A
4481,MSR1
8685,MARCO
4973,OLR1
949,SCARB1
948,CD36
1535,CYBA
1536,CYBB
5879,RAC1
653361,NCF1
4688,NCF2
4689,NCF4
hsa04146,Peroxisome
9409,PEX16
8504,PEX3
5824,PEX19
5825,ABCD3
5189,PEX1
5190,PEX6
55670,PEX26
5191,PEX7
5830,PEX5
51555,PEX5L
5195,PEX14
5194,PEX13
5193,PEX12
5192,PEX10
5828,PEX2
5827,PXMP2
4358,MPV17
84769,MPV17L2
255027,MPV17L
11264,PXMP4
8800,PEX11A
8799,PEX11B
92960,PEX11G
10478,SLC25A17
26061,HACL1
23600,AMACR
5264,PHYH
8310,ACOX3
51,ACOX1
8309,ACOX2
3295,HSD17B4
6342,SCP2
570,BAAT
1962,EHHADH
30,ACAA1
26063,DECR2
1891,ECH1
215,ABCD1
225,ABCD2
5826,ABCD4
11001,SLC27A2
23305,ACSL6
2182,ACSL4
2180,ACSL1
51703,ACSL5
2181,ACSL3
55825,PECR
10455,ECI2
283927,NUDT7
83594,NUDT12
390916,NUDT19
10005,ACOT8
1384,CRAT
54677,CROT
23417,MLYCD
8443,GNPAT
8540,AGPS
55711,FAR2
84188,FAR1
4598,MVK
10654,PMVK
189,AGXT
1610,DAO
8528,DDO
3417,IDH1
3418,IDH2
196743,PAOX
51268,PIPOX
3155,HMGCL
54511,HMGCLL1
51179,HAO2
54363,HAO1
847,CAT
25824,PRDX5
6647,SOD1
6648,SOD2
4843,NOS2
5052,PRDX1
2053,EPHX2
373156,GSTK1
7498,XDH
10901,DHRS4
728635,DHRS4L1
hsa04150,mTOR signaling pathway
8140,SLC7A5
6520,SLC3A2
153129,SLC38A9
523,ATP6V1A
525,ATP6V1B1
526,ATP6V1B2
245973,ATP6V1C2
528,ATP6V1C1
51382,ATP6V1D
90423,ATP6V1E2
529,ATP6V1E1
9296,ATP6V1F
9550,ATP6V1G1
127124,ATP6V1G3
534,ATP6V1G2
51606,ATP6V1H
55004,LAMTOR1
28956,LAMTOR2
8649,LAMTOR3
389541,LAMTOR4
10542,LAMTOR5
201163,FLCN
96459,FNIP1
57600,FNIP2
